example_index,task_id,op_type,condition,website,confirmed_task
68,275a7416-179a-4a72-8e2b-779a48a2b33f,TYPE,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
69,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
70,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
71,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
72,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
73,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
74,275a7416-179a-4a72-8e2b-779a48a2b33f,CLICK,Outcome-Aware,shopping.google,Find the cheapest snow colored Google Pixel 7 with 128gb storage that can be bought on google
75,2de30aa3-b7a9-43eb-84f1-df10851a7da3,TYPE,Outcome-Aware,shopping.google,Look for reviews of a Nest Hello Video Doorbell and filter by 1 star ratings
76,2de30aa3-b7a9-43eb-84f1-df10851a7da3,CLICK,Outcome-Aware,shopping.google,Look for reviews of a Nest Hello Video Doorbell and filter by 1 star ratings
77,2de30aa3-b7a9-43eb-84f1-df10851a7da3,CLICK,Outcome-Aware,shopping.google,Look for reviews of a Nest Hello Video Doorbell and filter by 1 star ratings
78,2de30aa3-b7a9-43eb-84f1-df10851a7da3,CLICK,Outcome-Aware,shopping.google,Look for reviews of a Nest Hello Video Doorbell and filter by 1 star ratings
79,2de30aa3-b7a9-43eb-84f1-df10851a7da3,CLICK,Outcome-Aware,shopping.google,Look for reviews of a Nest Hello Video Doorbell and filter by 1 star ratings
80,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
81,470ee759-6323-4803-9c60-018c49c13c4e,TYPE,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
82,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
83,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
84,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
85,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
86,470ee759-6323-4803-9c60-018c49c13c4e,CLICK,Outcome-Aware,shopping.google,Create a list of drip coffee makers that are on sale and within $25-60 and have a black finish.
87,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,TYPE,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
88,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
89,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
90,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
91,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
92,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
93,a59beab6-bc7a-4a2c-811f-c11b49f9fd9e,CLICK,Outcome-Aware,bestbuy,"find a silver steel watch with touch screen, water resistance, touch screen and google assistance support for currently on sale"
94,c2739db1-7c1a-42dd-a977-c73a8c94e792,CLICK,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
95,c2739db1-7c1a-42dd-a977-c73a8c94e792,CLICK,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
96,c2739db1-7c1a-42dd-a977-c73a8c94e792,CLICK,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
97,c2739db1-7c1a-42dd-a977-c73a8c94e792,CLICK,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
98,c2739db1-7c1a-42dd-a977-c73a8c94e792,CLICK,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
99,c2739db1-7c1a-42dd-a977-c73a8c94e792,SELECT,Outcome-Aware,bestbuy,Search for NordicTrarck with the lowest price
100,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
101,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
102,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
103,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
104,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
105,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
106,cd5753f3-4487-40e5-aa8b-50ac687a4631,TYPE,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
107,cd5753f3-4487-40e5-aa8b-50ac687a4631,TYPE,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
108,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
109,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
110,cd5753f3-4487-40e5-aa8b-50ac687a4631,CLICK,Outcome-Aware,bestbuy,search for 33 to 49inch Qled gaming monitor with 240hz refresh rate that is within $1000 to $2000
111,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
112,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
113,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
114,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
115,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
116,0f2d0bb0-ae6b-4fda-ad3e-26f75b4352cc,CLICK,Outcome-Aware,macys,Find baby shoes under 20 dollars and rated 5 stars.
117,24e104ae-aa71-40b2-8048-b69027f9652b,CLICK,Outcome-Aware,macys,Check the details of order 12345 with email 12345@gmail.com
118,24e104ae-aa71-40b2-8048-b69027f9652b,TYPE,Outcome-Aware,macys,Check the details of order 12345 with email 12345@gmail.com
119,24e104ae-aa71-40b2-8048-b69027f9652b,TYPE,Outcome-Aware,macys,Check the details of order 12345 with email 12345@gmail.com
120,24e104ae-aa71-40b2-8048-b69027f9652b,CLICK,Outcome-Aware,macys,Check the details of order 12345 with email 12345@gmail.com
121,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
122,250ec75c-48af-449c-aa56-882ff62988b3,TYPE,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
123,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
124,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
125,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
126,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
127,250ec75c-48af-449c-aa56-882ff62988b3,CLICK,Outcome-Aware,tripadvisor,Find Italian restaurants in New York City near Central Park.
128,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
129,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
130,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
131,ffc01d9d-bf28-4787-a42c-b92b44db3285,TYPE,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
132,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
133,ffc01d9d-bf28-4787-a42c-b92b44db3285,TYPE,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
134,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
135,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
136,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
137,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
138,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
139,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
140,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
141,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
142,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
143,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
144,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
145,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
146,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
147,ffc01d9d-bf28-4787-a42c-b92b44db3285,CLICK,Outcome-Aware,tripadvisor,"Find a one-way nonstop flight between San Fransisco to San Diego on July 1, on United Airlines for 2 adults and 1 
senior, and view the deal of the morning flight."
148,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,CLICK,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
149,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,SELECT,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
150,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,TYPE,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
151,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,SELECT,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
152,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,CLICK,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
153,0bea65aa-45a4-472c-9a4a-e900e8a9b43d,SELECT,Outcome-Aware,cars,Find a highest rated dealer for Cadillac with rating above 4 star within 20 miles of zip 60606.
154,1039245f-0ca1-464b-b55a-2ac30f769929,CLICK,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
155,1039245f-0ca1-464b-b55a-2ac30f769929,CLICK,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
156,1039245f-0ca1-464b-b55a-2ac30f769929,SELECT,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
157,1039245f-0ca1-464b-b55a-2ac30f769929,SELECT,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
158,1039245f-0ca1-464b-b55a-2ac30f769929,TYPE,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
159,1039245f-0ca1-464b-b55a-2ac30f769929,CLICK,Outcome-Aware,cars,"Find electric cars with a maximum price of $50,000 within 50 miles of 10001."
160,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
161,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
162,135d86d4-f44d-4164-8b42-a128727f6e7e,CLICK,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
163,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
